LibraryID,SampleID,Location,Country,Species,Structure DNA Extracted from,Lat,Lon
AFI1240,HO_CY_Le_01,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1241,HO_CY_Le_02,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1242,HO_CY_Le_03,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1243,HO_CY_Le_04,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1244,HO_CY_Le_05,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1245,HO_CY_Le_06,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1246,HO_CY_Le_07,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1247,HO_CY_Le_08,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1248,HO_CY_Le_09,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1249,HO_CY_Le_10,Cyrene Reef,Singapore,Halophila ovalis,Leaf,1.258905,103.754918
AFI1250,HO_CY_Rh_01,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1251,HO_CY_Rh_02,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1252,HO_CY_Rh_03,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1253,HO_CY_Rh_04,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1254,HO_CY_Rh_05,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1255,HO_CY_Rh_06,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1256,HO_CY_Rh_07,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1257,HO_CY_Rh_08,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1258,HO_CY_Rh_09,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1259,HO_CY_Rh_10,Cyrene Reef,Singapore,Halophila ovalis,Rhizome,1.258905,103.754918
AFI1260,HO_CY_Ro_01,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1261,HO_CY_Ro_02,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1262,HO_CY_Ro_03,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1263,HO_CY_Ro_04,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1264,HO_BLANK_01,Blank,Blank,Blank,Blank,1.258905,103.754918
AFI1265,HO_CY_Ro_05,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1266,HO_CY_Ro_06,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1267,HO_CY_Ro_07,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1268,HO_CY_Ro_08,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1269,HO_CY_Ro_09,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1270,HO_CY_Ro_10,Cyrene Reef,Singapore,Halophila ovalis,Root,1.258905,103.754918
AFI1271,HO_CY_Soil_01,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1272,HO_CY_Soil_02,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1273,HO_CY_Soil_03,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1274,HO_CY_Soil_04,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1275,HO_CY_Soil_05,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1276,HO_CY_Soil_06,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1277,HO_CY_Soil_07,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1278,HO_CY_Soil_08,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1279,HO_CY_Soil_09,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1280,HO_CY_Soil_10,Cyrene Reef,Singapore,Halophila ovalis,Soil,1.258905,103.754918
AFI1281,HO_Sent_Le_01,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229
AFI1282,HO_Sent_Le_02,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229
AFI1283,HO_Sent_Le_03,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229
AFI1284,HO_Sent_Le_04,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229
AFI1285,HO_Sent_Le_05,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229
AFI1286,HO_Sent_Le_06,Sentosa,Singapore,Halophila ovalis,Leaf,1.258297,103.807229
