"","input","filtered","nonchim","total.loss.proportion"
"AFI1240",13956,12211,12097,0.125035826884494
"AFI1241",53507,46735,44681,0.126562879623227
"AFI1242",38077,33939,33467,0.108674527930247
"AFI1243",20893,18040,17768,0.136552912458718
"AFI1244",14754,12632,12603,0.143825403280466
"AFI1245",15354,13242,13061,0.137553731926534
"AFI1246",5001,4253,4213,0.149570085982803
"AFI1247",7812,6537,6355,0.16321044546851
"AFI1248",11454,9979,9979,0.128775973459054
"AFI1249",19167,17140,17096,0.10575468252726
"AFI1250",34201,29039,28642,0.150931259319903
"AFI1251",11048,8973,8972,0.18781679942071
"AFI1252",27129,23164,22874,0.146153562608279
"AFI1253",9231,7636,7633,0.172787346982992
"AFI1254",6797,5539,5468,0.185081653670737
"AFI1255",5276,4529,4529,0.14158453373768
"AFI1256",7579,6334,6334,0.164269692571579
"AFI1257",21642,18137,18137,0.161953608723778
"AFI1258",8764,7464,7464,0.148334094020995
"AFI1259",11889,10224,10144,0.14004542013626
"AFI1260",14040,12098,12094,0.138319088319088
"AFI1261",9141,7973,7973,0.127775954490756
"AFI1262",26892,23259,23047,0.135095939312807
"AFI1263",4548,3946,3946,0.132365875109938
"AFI1264",7312,6830,6830,0.0659190371991247
"AFI1265",7105,6236,6221,0.122308233638283
"AFI1266",1892,1606,1606,0.151162790697674
"AFI1267",7224,5741,5637,0.205287929125138
"AFI1268",3516,2574,2574,0.267918088737201
"AFI1269",7234,6316,6315,0.126900746474979
"AFI1270",12707,11051,10819,0.130321869835524
"AFI1271",20667,17361,16943,0.159965161852228
"AFI1272",32663,27326,27326,0.163395891375563
"AFI1273",32878,27571,27571,0.161414927915323
"AFI1274",30754,25292,25292,0.177602913442154
"AFI1275",43094,36164,36164,0.160811249825962
"AFI1276",38278,32485,32485,0.151340195412508
"AFI1277",34478,28438,28438,0.175184175416207
"AFI1278",38592,32642,32642,0.154177031509121
"AFI1279",18092,14998,14998,0.171014813177095
"AFI1280",22360,18627,18188,0.166949910554562
"AFI1281",9539,8501,8501,0.108816437781738
"AFI1282",10592,9627,9627,0.0911064954682779
"AFI1283",7078,5941,5941,0.160638598474145
"AFI1284",943,691,691,0.267232237539767
"AFI1285",2097,1666,1666,0.20553171196948
"AFI1286",4677,3593,3593,0.231772503741715
"AFI1287",3594,3048,3048,0.151919866444073
"AFI1288",384,273,273,0.2890625
"AFI1289",2631,2109,2109,0.198403648802737
"AFI1290",7477,6589,6589,0.118764210244751
"AFI1291",12157,10621,10621,0.126346960598832
"AFI1292",10118,9204,9204,0.0903340581142518
"AFI1293",991,561,561,0.433905146316852
"AFI1294",2407,1906,1906,0.20814291649356
"AFI1295",3385,2862,2862,0.154505169867061
"AFI1296",69,27,27,0.608695652173913
"AFI1297",2746,1369,1369,0.501456664238893
"AFI1298",11787,10149,10024,0.138966658182744
"AFI1299",4672,4121,4121,0.117936643835616
"AFI1300",1671,1412,1412,0.154997007779773
"AFI1301",2103,1619,1619,0.230147408464099
"AFI1302",3059,2472,2472,0.191892775416803
"AFI1303",9375,8203,8203,0.125013333333333
"AFI1304",18928,16232,16232,0.142434488588335
"AFI1305",9897,7829,7829,0.208952207739719
"AFI1306",3627,2692,2692,0.257788806175903
"AFI1307",5450,3504,3504,0.357064220183486
"AFI1308",1839,1444,1444,0.21479064709081
"AFI1309",1809,1239,1239,0.315091210613599
"AFI1310",5287,4309,4309,0.184982031397768
"AFI1311",3690,3171,3171,0.140650406504065
"AFI1312",19915,16946,16747,0.149083605322621
"AFI1313",28536,24751,24751,0.132639472946454
"AFI1314",42146,36166,36166,0.14188772362739
"AFI1315",4291,3598,3598,0.161500815660685
"AFI1316",53677,47825,47479,0.109022486353559
"AFI1317",17729,15241,15241,0.140335044277737
"AFI1318",31967,27902,27902,0.12716238621078
"AFI1319",21880,19486,19450,0.109414990859232
"AFI1320",15587,12150,12034,0.220504266375826
"AFI1321",14958,10845,10845,0.27496991576414
"AFI1322",26210,23294,23294,0.111255246089279
"AFI1323",11738,10309,10191,0.121741352871017
"AFI1324",25351,22305,22305,0.12015305116169
"AFI1325",16202,14361,14266,0.113627947167016
"AFI1326",10833,8609,8596,0.205298624573064
"AFI1327",2778,2409,2409,0.132829373650108
"AFI1328",133,53,53,0.601503759398496
"AFI1329",10125,8843,8843,0.126617283950617
"AFI1330",14042,12606,12606,0.102264634667426
"AFI1331",17696,15689,15678,0.113415461121157
"AFI1332",22340,20189,20189,0.096284691136974
"AFI1333",11438,9957,9957,0.129480678440287
"AFI1334",2528,2168,2168,0.142405063291139
"AFI1335",1699,1427,1427,0.160094173042966
"AFI1336",2350,2053,2053,0.126382978723404
"AFI1337",7461,6397,6323,0.142608229459858
"AFI1338",6852,6186,6060,0.0971978984238179
"AFI1339",24862,22542,22542,0.0933150993484032
"AFI1340",19216,16152,16152,0.159450457951707
"AFI1341",26567,22464,22464,0.154439718447698
"AFI1342",66107,61030,60917,0.0767997337649568
"AFI1343",17472,15221,15221,0.128834706959707
"AFI1344",7744,6538,6538,0.15573347107438
"AFI1345",25133,21065,21065,0.161858910595631
"AFI1346",29769,25266,25120,0.151264738486345
"AFI1347",50050,43062,43033,0.13962037962038
"AFI1348",50060,44017,43971,0.120715141829804
"AFI1349",29004,24780,24484,0.145635084815887
"AFI1350",37,34,34,0.0810810810810811
"AFI1351",12331,10434,10434,0.153839915659719
"AFI1352",13705,11328,11328,0.17344035023714
"AFI1353",17711,14174,14170,0.199706397154311
"AFI1354",12793,9688,9663,0.242710857500195
"AFI1355",46549,41192,41079,0.115083030784764
"AFI1356",36772,32722,32560,0.110138148591319
"AFI1357",22242,18511,18506,0.167745706321374
"AFI1358",15775,8650,8650,0.451664025356577
"AFI1359",13296,9967,9967,0.250376052948255
"AFI1360",4219,3573,3573,0.153116852334676
